value,linear_for,linear_while,sentinel_while,binary_while
10,6.4000000747910235e-06,7.300000106624793e-06,6.600000006073969e-06,3.129999981865694e-05
5000000,0.42096489999994446,1.314578400000073,1.1672445000001517,3.3000001167238224e-06
10000000,0.9427431999999953,2.49308730000007,2.1381785999999465,1.1300000096525764e-05
